Title,Link,ID
PIRÓLISIS DE ALCANOS | Reacciones Orgánicas,https://www.youtube.com/watch?v=5peQZFJuyhQ,5peQZFJuyhQ
JARDIN QUÍMICO EXPERIMENTO SORPRENDENTE,https://www.youtube.com/watch?v=V_cm_0pjUgs,V_cm_0pjUgs
MOLALIDAD | Química básica,https://www.youtube.com/watch?v=-nrdmminoRw,-nrdmminoRw
PROPIEDADES COVALENTES | Química Básica,https://www.youtube.com/watch?v=w3KK4lJAejk,w3KK4lJAejk
POLARIZABILIDAD | ÁTOMOS DUROS Y BLANDOS,https://www.youtube.com/watch?v=2iQTEjpviiU,2iQTEjpviiU
"ESTEQUIOMETRÍA | Calcular gramos, moles y volúmenes",https://www.youtube.com/watch?v=RxVfUhutNyM,RxVfUhutNyM
TABLA DE SOLUBILIDADES | Química básica,https://www.youtube.com/watch?v=1pixjKy8A0k,1pixjKy8A0k
QUÉ ES LA SÍNTESIS QUÍMICA,https://www.youtube.com/watch?v=c6Zj2aeT4xM,c6Zj2aeT4xM
DIFERENCIA ENTRE ÁTOMOS Y MOLÉCULAS,https://www.youtube.com/watch?v=u2fa9uCylhs,u2fa9uCylhs
SIMETRÍA | Elementos y Operaciones,https://www.youtube.com/watch?v=breGmus6k2I,breGmus6k2I
PESO MOLECULAR | Química Básica,https://www.youtube.com/watch?v=-5EyJrZYWGE,-5EyJrZYWGE
OBTENER PLATA USANDO COBRE,https://www.youtube.com/watch?v=JALJoQEADVg,JALJoQEADVg
AJUSTE DE REACCIONES | TANTEO,https://www.youtube.com/watch?v=39DAI571uO8,39DAI571uO8
ACADEMIA DE QUÍMICA ONLINE - BREAKING VLAD,https://www.youtube.com/watch?v=cXozcjS_ZQE,cXozcjS_ZQE
ÁCIDOS Y BASES DÉBILES | Ejercicio resuelto,https://www.youtube.com/watch?v=Qmi2L0eoGNM,Qmi2L0eoGNM
Halogenación de alquenos | Química Orgánica,https://www.youtube.com/watch?v=yyt7S2tpVI0,yyt7S2tpVI0
El vaso de precipitados | 1 | Material de laboratorio,https://www.youtube.com/watch?v=Jw1Una9Z0cU,Jw1Una9Z0cU
DIAGRAMAS DE ELLINGHAM | Química Inorgánica,https://www.youtube.com/watch?v=cZEeSdNGda0,cZEeSdNGda0
¿HOMEOPATÍA? ... ¿QUÉ DICE LA QUÍMICA?,https://www.youtube.com/watch?v=61eNcJwa7ho,61eNcJwa7ho
HIDRUROS | Formulación Inorgánica | IUPAC 2005,https://www.youtube.com/watch?v=ee00gHzB_wA,ee00gHzB_wA
NÚMEROS CUÁNTICOS | 6 | Ejercicio de química resuelto,https://www.youtube.com/watch?v=rJp9bHar1rs,rJp9bHar1rs
PERÓXIDOS| Formulación Inorgánica | IUPAC 2005,https://www.youtube.com/watch?v=2MTuqt5csag,2MTuqt5csag
FORMULACIÓN INORGÁNICA | Introducción | IUPAC 2005,https://www.youtube.com/watch?v=LRby-4zVekw,LRby-4zVekw
